disprotID,uniprotID,name,species,seqlength,numdisorder,discontent,numhomologs,gaps
DP00001,Q9HFQ6,"60S acidic ribosomal protein P1-B",Candida albicans,108,108,100.0,1019,0.208746774252
DP00002,P02400,"60S acidic ribosomal protein P2-beta",Saccharomyces cerevisiae,110,110,100.0,852,0.175789586001
DP00003,P03265,"Early E2A DNA-binding protein",Human adenovirus,529,53,10.0,43,0.0412461605968
DP00004,P49913,"Cathelicidin antimicrobial peptide",Homo sapiens,170,0,0.0,266,0.0
DP00004_C002,P49913,"Cathelicidin antimicrobial peptide",Homo sapiens,37,37,100.0,31,0.142981691369
DP00005,P03045,"Antitermination protein N",Enterobacteria phage,107,107,100.0,38,0.278160354156
DP00006,P00004,"Cytochrome c",Equus caballus,104,104,100.0,1237,0.210209253156
DP00007,P27695,"DNA-(apurinic or apyrimidinic site) lyase",Homo sapiens,318,61,19.2,1297,0.70231429402
DP00008,Q64693,"POU domain class 2-associating factor 1",Mus musculus,256,256,100.0,21,0.12072172619
DP00009,P32774,"Transcription initiation factor IIA subunit 2",Saccharomyces cerevisiae,122,13,10.7,165,0.8
DP00011,P50224,"Sulfotransferase 1A3/1A4",Homo sapiens,295,72,24.4,1763,0.407764542762
DP00012,P13569,"Cystic fibrosis transmembrane conductance regulator",Homo sapiens,1480,124,8.4,6162,0.892894535708
DP00013,P01233,"Choriogonadotropin subunit beta",Homo sapiens,145,34,23.4,239,0.864385921733
DP00014,P05371,"Clusterin",Rattus norvegicus,447,114,25.5,84,0.126148705096
DP00015,P61926,"cAMP-dependent protein kinase inhibitor alpha",Oryctolagus cuniculus,76,75,98.7,66,0.237777777778
DP00016,P38936,"Cyclin-dependent kinase inhibitor 1",Homo sapiens,164,164,100.0,177,0.472164806394
DP00017,P49918,"Cyclin-dependent kinase inhibitor 1C",Homo sapiens,316,316,100.0,165,0.744706559264
DP00018,P46527,"Cyclin-dependent kinase inhibitor 1B",Homo sapiens,198,26,13.1,186,0.534739454094
DP00020,P11938,"DNA-binding protein RAP1",Saccharomyces cerevisiae,827,14,1.7,68,0.429621848739
DP00021,P13551,"Elongation factor G",Thermus thermophilus,691,31,4.5,2717,0.35455376542
DP00022,P17639,"EMB-1 protein",Daucus carota,92,92,100.0,52,0.128135451505
DP00023,P14061,"Estradiol 17-beta-dehydrogenase 1",Homo sapiens,327,61,18.7,3053,0.722584074788
DP00024,P03129,"Protein E7",Human papillomavirus,98,98,100.0,240,0.117984693878
DP00025,P14738,"Fibronectin-binding protein A",Staphylococcus aureus,1018,130,12.8,712,0.951512532411
DP00026,P06179,"Flagellin",Salmonella typhimurium,494,105,21.3,1942,0.251664950223
DP00027,P26477,"Negative regulator of flagellin synthesis",Salmonella typhimurium,97,97,100.0,511,0.344160429318
DP00028,Q13541,"Eukaryotic translation initiation factor 4E-binding protein 1",Homo sapiens,118,118,100.0,84,0.207728006457
DP00029,Q07731,"Glial cell line-derived neurotrophic factor",Rattus norvegicus,211,41,19.4,260,0.79530956848
DP00030,P04150,"Glucocorticoid receptor",Homo sapiens,777,500,64.4,1874,0.851432230523
DP00031,P13255,"Glycine N-methyltransferase",Rattus norvegicus,292,40,13.7,2790,0.806953405018
DP00032,P56206,"Glycine--tRNA ligase",Thermus thermophilus,505,68,13.5,1744,0.801647665947
DP00033,P10912-1,"",,638,0,0.0,1371,0.0
DP00033_C001,P10912,"Growth hormone receptor",Homo sapiens,246,67,27.2,1106,0.498515559634
DP00034,P03661,"Attachment protein G3P",Enterobacteria phage,424,24,5.7,26,0.706730769231
DP00035,P10824,"Guanine nucleotide-binding protein G(i) subunit alpha-1",Rattus norvegicus,354,42,11.9,2068,0.598772681219
DP00036,P22121,"Heat shock factor protein",Kluyveromyces lactis,677,218,32.2,1109,0.899285247475
DP00037,Q9Y9L0,"Probable peroxiredoxin",Aeropyrum pernix,250,26,10.4,2422,0.772787905736
DP00038,P02316,"Non-histone chromosomal protein HMG-14",Bos taurus,100,99,99.0,166,0.162711451868
DP00039,P05204,"Non-histone chromosomal protein HMG-17",Homo sapiens,89,89,100.0,160,0.111376404494
DP00040,P17096,"High mobility group protein HMG-I/HMG-Y",Homo sapiens,107,107,100.0,94,0.340226685226
DP00041,P07746,"High mobility group-T protein",Oncorhynchus mykiss,204,204,100.0,1696,0.476663660747
DP00042,P02315,"Non-histone chromosomal protein H6",Oncorhynchus mykiss,70,69,98.6,147,0.0627033422064
DP00043,P02929,"Protein tonB",Escherichia coli,239,49,20.5,1263,0.865448317094
DP00044,P02259,"Histone H5",Gallus gallus,189,106,56.1,659,0.92547312967
DP00045,Q27796,"Hypoxanthine-guanine phosphoribosyltransferase",Trypanosoma cruzi,220,30,13.6,2020,0.859570957096
